"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13","Should DELETE request with invalid id","Delete Goals","Thu Jun 05 11:39:26 GMT 2025","skipped","Thu Jun 05 11:39:26 GMT 2025","","","",""
"","326","Should validate schema of goal","Create Goals","Thu Jun 05 11:39:22 GMT 2025","broken","Thu Jun 05 11:39:22 GMT 2025","","","",""
"","112","Should validate schema of goal","Update Goal","Thu Jun 05 11:39:40 GMT 2025","broken","Thu Jun 05 11:39:40 GMT 2025","","","",""
"","107","Should GET request contain correct name and id","Get Goals","Thu Jun 05 11:39:35 GMT 2025","broken","Thu Jun 05 11:39:36 GMT 2025","","","",""
"","112","Should GET request without authorization and return status 400","Get Goal","Thu Jun 05 11:39:31 GMT 2025","broken","Thu Jun 05 11:39:31 GMT 2025","","","",""
"","107","Should GET request without authorization and return status 400","Get Goals","Thu Jun 05 11:39:35 GMT 2025","broken","Thu Jun 05 11:39:36 GMT 2025","","","",""
"","500","Should UPDATE request and return status 200","Update Goal","Thu Jun 05 11:39:40 GMT 2025","broken","Thu Jun 05 11:39:40 GMT 2025","","","",""
"","13","Should DELETE request and not contains correct name","Delete Goals","Thu Jun 05 11:39:26 GMT 2025","skipped","Thu Jun 05 11:39:26 GMT 2025","","","",""
"","366","Should POST request with valid body from file and contain correct name","Create Goals","Thu Jun 05 11:39:20 GMT 2025","broken","Thu Jun 05 11:39:20 GMT 2025","","","",""
"","877","Should POST request without authorization","Create Goals","Thu Jun 05 11:39:21 GMT 2025","passed","Thu Jun 05 11:39:21 GMT 2025","","","",""
"","107","Should validate schema of goal","Get Goals","Thu Jun 05 11:39:35 GMT 2025","broken","Thu Jun 05 11:39:36 GMT 2025","","","",""
"","112","Should GET request goal contain correct name and id","Get Goal","Thu Jun 05 11:39:31 GMT 2025","broken","Thu Jun 05 11:39:31 GMT 2025","","","",""
"","111","Should UPDATE request contain correct name and id","Update Goal","Thu Jun 05 11:39:40 GMT 2025","broken","Thu Jun 05 11:39:40 GMT 2025","","","",""
"","522","Should POST request with random name and return status 200","Create Goals","Thu Jun 05 11:39:19 GMT 2025","broken","Thu Jun 05 11:39:20 GMT 2025","","","",""
"","484","Should GET request and return status 200","Get Goals","Thu Jun 05 11:39:35 GMT 2025","broken","Thu Jun 05 11:39:36 GMT 2025","","","",""
"","397","Should DELETE request and return status 200","Delete Goals","Thu Jun 05 11:39:26 GMT 2025","broken","Thu Jun 05 11:39:26 GMT 2025","","","",""
"","528","Should GET request and return status 200","Get Goal","Thu Jun 05 11:39:30 GMT 2025","broken","Thu Jun 05 11:39:31 GMT 2025","","","",""
"","112","Should UPDATE request without authorization and return status 400","Update Goal","Thu Jun 05 11:39:40 GMT 2025","broken","Thu Jun 05 11:39:40 GMT 2025","","","",""
"","13","Should DELETE request without authorization and return status 400","Delete Goals","Thu Jun 05 11:39:26 GMT 2025","skipped","Thu Jun 05 11:39:26 GMT 2025","","","",""
"","112","Should validate schema of goal","Get Goal","Thu Jun 05 11:39:31 GMT 2025","broken","Thu Jun 05 11:39:31 GMT 2025","","","",""
