"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","60","Should GET request without authorization and return status 400","Get Goal","Thu Jun 05 14:12:28 GMT 2025","passed","Thu Jun 05 14:12:28 GMT 2025","","","",""
"","249","Should GET request without authorization and return status 400","Get Goals","Thu Jun 05 14:12:34 GMT 2025","passed","Thu Jun 05 14:12:35 GMT 2025","","","",""
"","200","Should POST request without authorization","Create Goals","Thu Jun 05 14:12:11 GMT 2025","passed","Thu Jun 05 14:12:11 GMT 2025","","","",""
"","270","Should GET request contain correct name and id","Get Goals","Thu Jun 05 14:12:34 GMT 2025","passed","Thu Jun 05 14:12:34 GMT 2025","","","",""
"","373","Should validate schema of goal","Update Goal","Thu Jun 05 14:12:41 GMT 2025","passed","Thu Jun 05 14:12:42 GMT 2025","","","",""
"","510","Should POST request with random name and return status 200","Create Goals","Thu Jun 05 14:12:09 GMT 2025","passed","Thu Jun 05 14:12:09 GMT 2025","","","",""
"","1874","Should DELETE request with invalid id","Delete Goals","Thu Jun 05 14:12:20 GMT 2025","passed","Thu Jun 05 14:12:21 GMT 2025","","","",""
"","659","Should UPDATE request and return status 200","Update Goal","Thu Jun 05 14:12:40 GMT 2025","passed","Thu Jun 05 14:12:41 GMT 2025","","","",""
"","618","Should GET request and return status 200","Get Goals","Thu Jun 05 14:12:33 GMT 2025","passed","Thu Jun 05 14:12:34 GMT 2025","","","",""
"","351","Should validate schema of goal","Get Goals","Thu Jun 05 14:12:35 GMT 2025","passed","Thu Jun 05 14:12:35 GMT 2025","","","",""
"","666","Should POST request with valid body from file and contain correct name","Create Goals","Thu Jun 05 14:12:10 GMT 2025","passed","Thu Jun 05 14:12:10 GMT 2025","","","",""
"","857","Should DELETE request and not contains correct name","Delete Goals","Thu Jun 05 14:12:19 GMT 2025","passed","Thu Jun 05 14:12:19 GMT 2025","","","",""
"","674","Should DELETE request and return status 200","Delete Goals","Thu Jun 05 14:12:18 GMT 2025","passed","Thu Jun 05 14:12:19 GMT 2025","","","",""
"","699","Should GET request and return status 200","Get Goal","Thu Jun 05 14:12:27 GMT 2025","passed","Thu Jun 05 14:12:28 GMT 2025","","","",""
"","352","Should GET request goal contain correct name and id","Get Goal","Thu Jun 05 14:12:28 GMT 2025","passed","Thu Jun 05 14:12:28 GMT 2025","","","",""
"","316","Should validate schema of goal","Get Goal","Thu Jun 05 14:12:28 GMT 2025","passed","Thu Jun 05 14:12:28 GMT 2025","","","",""
"","571","Should UPDATE request contain correct name and id","Update Goal","Thu Jun 05 14:12:41 GMT 2025","passed","Thu Jun 05 14:12:41 GMT 2025","","","",""
"","392","Should validate schema of goal","Create Goals","Thu Jun 05 14:12:12 GMT 2025","passed","Thu Jun 05 14:12:13 GMT 2025","","","",""
"","84","Should UPDATE request without authorization and return status 400","Update Goal","Thu Jun 05 14:12:41 GMT 2025","passed","Thu Jun 05 14:12:41 GMT 2025","","","",""
"","448","Should DELETE request without authorization and return status 400","Delete Goals","Thu Jun 05 14:12:21 GMT 2025","passed","Thu Jun 05 14:12:22 GMT 2025","","","",""
